movieCd,movieNm,movieNmEn,movieNmOg,watchGradeNm,openDt,showTm,genre,peopleNm
20195002,블랙머니,BLACK MONEY,,12세이상관람가,2019,113,범죄,CHUNG Ji-young
20181434,신의 한 수: 귀수편,The Divine Move 2: The Wrathful,,15세이상관람가,2019,106,범죄,LEE Khan
20191029,82년생 김지영,"KIM JI-YOUNG, BORN 1982",,12세이상관람가,2019,118,드라마,KIM Do-young
20192083,터미네이터: 다크 페이트,Terminator: Dark Fate,,15세이상관람가,2019,,액션,Tim Miller
20197279,아담스 패밀리,The Addams Family,,전체관람가,2019,86,애니메이션,Greg Tiernan
20197721,엔젤 해즈 폴른,Angel Has Fallen,,15세이상관람가,2019,120,액션,Ric Roman Waugh
20198421,좀비랜드: 더블 탭,Zombieland: Double Tap,,15세이상관람가,2019,98,액션,Ruben Fleischer
20190280,날씨의 아이,Weathering With You,,15세이상관람가,2019,112,애니메이션,Makoto Shinkai
20196284,윤희에게,Moonlit Winter,滿月,12세이상관람가,2019,104,멜로/로맨스,LIM Dae-hyung
20196760,대통령의 7시간,President's 7 Hours,,,2019,78,다큐멘터리,LEE Sang-ho
20193801,닥터 슬립,Doctor Sleep,,15세이상관람가,2019,151,스릴러,Mike Flanagan
20191589,말레피센트 2,Maleficent: Mistress of Evil,,12세이상관람가,2019,118,어드벤처,Joachim Ronning
20199950,조커,Joker,,15세이상관람가,2019,122,액션,Todd Phillips
20195920,가장 보통의 연애,Crazy Romance,,15세이상관람가,2019,109,멜로/로맨스,KIM Han-gyeol
20192589,빅 위시,SALMAS BIG WISH,,전체관람가,2019,79,판타지,
20198184,빅 2: 황금열쇠 대소동,Norm of the North: Keys to the Kingdom,,전체관람가,2017,91,애니메이션,
20197054,빅트립: 아기팬더 배달 대모험,Big trip,,전체관람가,2019,82,애니메이션,Vasiliy Rovenskiy
20197392,프렌드 존,Friend Zone,Qu ba! Nv shen bing tuan,12세이상관람가,2019,119,멜로/로맨스,Chayanop Boonprakob
20196136,람보 : 라스트 워,Rambo: Last Blood,,청소년관람불가,2019,100,액션,Adrian Grunberg
20184483,퍼펙트맨,Man of Men,,15세이상관람가,2019,116,코미디,Yong-su
20197394,체크 히어로,Checkered Ninja,Ternet ninja,전체관람가,2018,75,애니메이션,Anders Matthesen
20198961,더 킹: 헨리 5세,The King,,청소년관람불가,2019,140,드라마,David Michod
20185361,두번할까요,"LOVE, AGAIN",,15세이상관람가,2019,112,코미디,PARK Yong-jip
20191183,제미니 맨,Gemini Man,,12세이상관람가,2019,116,액션,Ang Lee
20194223,너를 만난 여름,My Best Summer,最好的我們,12세이상관람가,2019,109,드라마,Disha Zhang
20197402,꼬마 자전거 스피디,Bikes,,전체관람가,2018,75,애니메이션,Manuel J. Garcia
20197141,와일드 로즈,Wild Rose,,15세이상관람가,2018,100,드라마,Tom Harper
20183407,버티고,Vertigo,,15세이상관람가,2019,114,드라마,JEON Kye-soo
20193601,장사리 : 잊혀진 영웅들,Battle of Jangsari,,12세이상관람가,2019,103,전쟁,KWAK Kyung-taek
20197691,잃어버린 세계를 찾아서,Missing Link,,전체관람가,2019,94,애니메이션,Chris Butler
20195941,소피와 드래곤: 마법책의 비밀,The Princess and The Dragon,Printsessa i drakon,전체관람가,2018,72,애니메이션,Marina Nefedova
20196380,몬스터 하우스,GNOME ALONE,,전체관람가,2017,85,애니메이션,Peter Lepeniotis
20184243,판소리 복서,My Punch-Drunk Boxer,,12세이상관람가,2019,113,코미디,JUNG Hyuk-ki
20199446,원스 어폰 어 타임... 인 할리우드,Once Upon a Time... in Hollywood,,청소년관람불가,2019,161,드라마,Quentin Tarantino
20194456,양자물리학,By Quantum Physics: A Nightlife Venture,,15세이상관람가,2019,119,범죄,LEE Seong-tae
20188750,나쁜 녀석들: 더 무비,The Bad Guys: Reign of Chaos,,15세이상관람가,2019,114,범죄,SON Yong-ho
20193665,47미터 2,47 METERS DOWN: UNCAGED,,15세이상관람가,2019,90,공포(호러),Johannes Roberts
20192982,애드 아스트라,AD ASTRA,,12세이상관람가,2019,122,SF,James Gray
20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,,청소년관람불가,2019,139,범죄,KWON Oh-kwang
20195968,더 룸,The Room,,15세이상관람가,2019,99,미스터리,Christian Volckman
20193807,예스터데이,YESTERDAY,,12세이상관람가,2019,116,드라마,Danny Boyle
20195203,레플리카,Replicas,,15세이상관람가,2018,107,범죄,Jeffrey Nachmanoff
20187322,"힘을 내요, 미스터 리","CHEER UP, MR. LEE",,12세이상관람가,2019,110,코미디,LEE Gae-byok
20193821,극장판 헬로카봇 : 달나라를 구해줘!,Hello Carbot the Movie: Save the Moon,,전체관람가,2019,75,애니메이션,CHOI Shin-gyu
20192804,그것: 두 번째 이야기,It Chapter Two,,15세이상관람가,2019,169,스릴러,Andres Muschietti
20181103,벌새,House of Hummingbird,,15세이상관람가,2018,138,드라마,KIM Bora
20184621,엑시트,EXIT,,12세이상관람가,2019,103,코미디,LEE Sang-geun
20194943,발명왕 볼트,Brave Rabbit3 the Crazy Time Machine,Brave rabbit 3 The crazy time machine,전체관람가,2019,69,어드벤처,Zeng Xian-lin
20194045,극장판 반지의 비밀일기,,,전체관람가,2019,72,애니메이션,
20181416,유열의 음악앨범,Tune in for Love,,12세이상관람가,2019,122,멜로/로맨스,JUNG Ji-woo
20184543,변신,Metamorphosis,,15세이상관람가,2019,112,공포(호러),KIM Hong-sun
20196850,분노의 질주: 홉스&쇼,Fast & Furious Presents: Hobbs & Shaw,,12세이상관람가,2019,135,액션,David Leitch
20194541,안녕 베일리,A Dog's journey,,전체관람가,2019,108,가족,Gail Mancuso
20184462,봉오동 전투,The Battle: Roar to Victory,,15세이상관람가,2019,134,사극,WON Shin-yun
20185985,광대들: 풍문조작단,Jesters: The Game Changers,,12세이상관람가,2019,108,사극,KIM Joo-ho
20194384,안나,ANNA,,15세이상관람가,2018,118,액션,Luc Besson
20171021,커런트 워,The Current War,,12세이상관람가,2017,107,드라마,Alfonso Gomez-Rejon
20191604,애프터,After,,15세이상관람가,2019,105,드라마,Jenny Gage
20182241,"안녕, 티라노: 영원히, 함께","My TYRANO: Together, Forever",,전체관람가,2019,97,애니메이션,Kobun SHIZUNO
20198323,레드슈즈,Red Shoes,,전체관람가,2019,92,애니메이션,HONG Sung-ho
20183844,마이펫의 이중생활 2,The Secret Life of Pets 2,,전체관람가,2019,85,애니메이션,Chris Renaud
20188404,암전,Warning: Do Not Play,,15세이상관람가,2018,85,미스터리,KIM Jin-won
20187959,원더랜드,Wonder Park,,전체관람가,2019,85,애니메이션,Dylan Brown
20180442,사자,The Divine Fury,,15세이상관람가,2018,128,미스터리,Jason KIM
20183867,알라딘,Aladdin,,전체관람가,2018,127,어드벤처,Guy Ritchie
20193275,브링 더 소울 : 더 무비,BRING THE SOUL : THE MOVIE,,전체관람가,2019,103,기타,
20191741,앵그리 버드 2: 독수리 왕국의 침공,The Angry Birds Movie 2,,전체관람가,2019,96,애니메이션,Thurop Van Orman
20175771,라이온 킹,The Lion King,,전체관람가,2018,118,어드벤처,Jon Favreau
20190741,김복동,My Name Is KIM Bok-dong,,12세이상관람가,2019,101,다큐멘터리,SONG Won-geun
20196309,스파이더맨: 파 프롬 홈,Spider-Man: Far From Home,,12세이상관람가,2019,129,액션,Jon Watts
20182490,나랏말싸미,The King's Letters,,전체관람가,2019,109,사극,CHO Chul-hyun
20183782,기생충,PARASITE,,15세이상관람가,2019,131,드라마,BONG Joon-ho
20192725,명탐정 코난: 감청의 권,Detective Conan: The Fist of Blue Sapphire,名探偵コナン: 紺青の拳,12세이상관람가,2019,109,애니메이션,Chika Nagaoka
20190002,롱 샷,LONG SHOT,,15세이상관람가,2019,124,코미디,Jonathan Levine
20184047,토이 스토리 4,Toy Story 4,,전체관람가,2018,99,애니메이션,Josh Cooley
20190273,천로역정: 천국을 찾아서,The Pilgrim's Progress,,전체관람가,2019,113,애니메이션,Robert Fernandez
20192222,사일런스,The Silence,,15세이상관람가,2019,90,공포(호러),John R. Leonetti
20185986,진범,The Culprit,,15세이상관람가,2018,100,스릴러,KO Jeong-wook
20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,Butt Detective The Movie,劇場版おしりたんてい：カレーなる事件,전체관람가,2019,68,애니메이션,Miho Hirayama
20185353,기방도령,HOMME FATALE,,15세이상관람가,2019,110,코미디,NAM Dae-joong
20192151,미드소마,Midsommar,,청소년관람불가,2019,147,공포(호러),Ari Aster
20199951,애나벨 집으로,Annabelle Comes Home,,15세이상관람가,2019,105,공포(호러),Gary Dauberman
20196655,존 윅 3: 파라벨룸,John Wick: Chapter 3 - parabellum,,청소년관람불가,2019,131,액션,Chad Stahelski
20198453,롱 리브 더 킹: 목포 영웅,Long Live the King,,15세이상관람가,2019,117,액션,KANG Yun-sung
20192591,BIFAN2019 판타스틱 단편 걸작선 1,Fantastic Short Films 1,,,2019,,기타,
20192689,별의 정원,Astro Gardener,,전체관람가,2019,74,애니메이션,WON Jong-shik
20182585,비스트,The Beast,,15세이상관람가,2019,130,범죄,LEE Jeong-ho
20192022,마담 싸이코,Greta,,15세이상관람가,2018,98,공포(호러),Neil Jordan
20184889,어벤져스: 엔드게임,Avengers: Endgame,,12세이상관람가,2018,180,액션,Anthony Russo
20196657,맨 인 블랙: 인터내셔널,Men in Black: International,,12세이상관람가,2019,115,액션,F. Gary Gray
20190885,사탄의 인형,Child's Play,,청소년관람불가,2019,90,공포(호러),Lars Klevberg
19880001,이웃집 토토로,My Neighbor Totoro,となりの トトロ,전체관람가,1988,87,애니메이션,Hayao Miyazaki
20190466,세상을 바꾼 변호인,ON THE BASIS OF SEX,,12세이상관람가,2018,120,드라마,Mimi Leder
20182387,엑스맨: 다크 피닉스,X-MEN: DARK PHOENIX,,12세이상관람가,2019,113,액션,Simon Kinberg
20191401,업사이드,The Upside,,12세이상관람가,2017,125,코미디,Neil Burger
20198291,로켓맨,Rocketman,,15세이상관람가,2019,121,드라마,Dexter Fletcher
20199063,빅샤크2: 해저2만리,Happy Little Submarine : 20000 Leagues under the Sea,,전체관람가,2018,74,애니메이션,Shen Yu
20188941,악인전,"The Gangster, The Cop, The Devil",,청소년관람불가,2019,109,범죄,LEE Won-tae
20184865,고질라: 킹 오브 몬스터,Godzilla: King of the Monsters,,12세이상관람가,2019,131,액션,Michael Dougherty
20188144,0.0MHz,0.0MHz,,15세이상관람가,2018,101,공포(호러),YOU Sun-dong
20184082,걸캅스,Miss & Mrs. Cops,,15세이상관람가,2018,107,코미디,JUNG Da-won
20192001,피터팬: 후크 선장과 결투의 날,Peter Pan: The Quest for the Never Book,,전체관람가,2018,88,애니메이션,Chandrasekaran
20198597,교회오빠,A Job Who Is near Us,,전체관람가,2019,84,다큐멘터리,
20199448,어린 의뢰인,My First Client,,12세이상관람가,2019,114,드라마,JANG Kyu-sung
20199822,더 보이,Brightburn,,15세이상관람가,2019,90,공포(호러),David Yarovesky
20187981,배심원들,Juror 8,,12세이상관람가,2019,113,드라마,HONG Seung-wan
20198598,명탐정 피카츄,Pokemon Detective Pikachu,,전체관람가,2019,104,액션,Rob Letterman
20190261,언더 더 씨2,Fish Tales 2,,전체관람가,2017,70,애니메이션,Evan Tramel
20185784,나의 특별한 형제,Inseparable Bros,,12세이상관람가,2018,113,드라마,YOOK Sang-hyo
20198183,뽀로로 극장판 보물섬 대모험,Treasure Island Adventure,,전체관람가,2019,79,애니메이션,KIM Hyun-ho
20197503,서스페리아,Suspiria,,청소년관람불가,2018,152,공포(호러),Luca Guadagnino
20185384,호텔 뭄바이,Hotel Mumbai,,15세이상관람가,2018,122,스릴러,Anthony Maras
20199923,라플라스의 마녀,Laplace's Witch,ラプラスの魔女,12세이상관람가,2018,115,미스터리,Takashi Miike
20199949,벤 이즈 백,Ben is Back,,15세이상관람가,2018,103,드라마,Peter Hedges
20199623,고양이 여행 리포트,The Travelling Cat Chronicles,旅猫リポート,전체관람가,2018,119,드라마,Koichiro Miki
20197147,어글리 돌,UglyDolls,UGLYDOLLS,전체관람가,2019,87,애니메이션,Kelly Asbury
20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,15세이상관람가,2006,118,드라마,Guillermo Del Toro
20199736,프렌즈: 둥지탈출,Manou the Swift,,전체관람가,2019,87,애니메이션,Christian Haas
20199189,미스 스티븐스,Miss Stevens,,12세이상관람가,2016,86,드라마,Julia Hart
20181877,캡틴 마블,Captain Marvel,,12세이상관람가,2018,123,액션,Anna Boden
20169323,안도 타다오,Samurai Architect Tadao Ando,,전체관람가,2016,73,다큐멘터리,Mizuno Shigenori
20183096,생일,Birthday,,전체관람가,2018,120,드라마,LEE Jong-un
20183454,요로나의 저주,The Curse of La Llorona,,15세이상관람가,2019,93,공포(호러),Michael Chaves
19990220,노팅 힐,Notting Hill,Notting Hill,12세관람가,1999,124,멜로/로맨스,Roger Michell
20180825,미성년,Another Child,,15세이상관람가,2018,95,드라마,KIM Yun-seok
20198982,크게 될 놈,,,15세이상관람가,2018,108,드라마,KANG Ji-eun
20198104,바이스,VICE,,15세이상관람가,2018,132,드라마,Adam McKay
20185406,헬보이,Hellboy,,청소년관람불가,2019,120,액션,Neil Marshall
20176103,돈,Money,,15세이상관람가,2018,115,범죄,PARK Nu-ri
20182501,왓칭,Watching,,15세이상관람가,2019,97,공포(호러),
20196244,샤잠!,SHAZAM!,,12세이상관람가,2019,131,액션,David F. Sandberg
20197423,공포의 묘지,Pet Sematary,,15세이상관람가,2018,100,공포(호러),Kevin Kolsch
20185352,어스,Us,,15세이상관람가,2019,116,공포(호러),Jordan Peele
20198844,아이 엠 마더,Peppermint,,15세이상관람가,2018,101,액션,Pierre Morel
20198403,파이브 피트,Five Feet Apart,,15세이상관람가,2019,116,드라마,Justin Baldoni
20183773,장난스런 키스,Fall in Love at First Kiss,一吻定情,12세이상관람가,2018,122,멜로/로맨스,Frankie Chen
20196025,덤보,Dumbo,,전체관람가,2018,111,가족,Tim Burton
20197092,로망,Romang,,전체관람가,2019,111,멜로/로맨스,LEE Chang-geun
20198146,콜레트,COLETTE,,15세이상관람가,2018,112,드라마,Wash Westmoreland
20198023,고릴라와 슈퍼레이스,Louis & Nolan: The big Cheese Race,,전체관람가,2017,77,애니메이션,Rasmus A. Sivertsen
20197846,악질경찰,Jo Pil-ho: The Dawning Rage,,청소년관람불가,2018,127,범죄,LEE Jeong-beom
20166301,썬키스 패밀리,Sunkist Family,,15세이상관람가,2017,105,가족,KIM Ji-hye
20197987,더 길티,The Guilty,Den skyldige,12세이상관람가,2018,88,스릴러,Gustav Moller
20175407,우상,Idol,,15세이상관람가,2018,143,스릴러,LEE Su-jin
20197283,이스케이프 룸,The Escape Room,,15세이상관람가,2018,99,액션,Adam Robitel
20197617,정글북: 마법 원정대,Savva,,전체관람가,2015,80,애니메이션,Maksim Fadeev
20198603,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,Fate/stay night [Heaven's Feel] II.lost butterfly,,15세이상관람가,2019,117,애니메이션,Tomonori Sudo
20197356,라스트 미션,The Mule,,15세이상관람가,2018,116,드라마,Clint Eastwood
20184574,그린 북,Green Book,,12세이상관람가,2018,130,드라마,Peter Farrelly
20196601,항거:유관순 이야기,A Resistance,,12세이상관람가,2018,105,드라마,JOE Min-ho
20182530,극한직업,Extreme Job,,15세이상관람가,2018,111,코미디,LEE Byoung-heon
20185881,증인,Innocent Witness,,12세이상관람가,2018,129,드라마,LEE Han
20196723,숲속왕국의 꿀벌 여왕,Tall Tales,,전체관람가,2017,87,애니메이션,Arnaud Bouron
20177539,사바하,SVAHA : THE SIXTH FINGER,,15세이상관람가,2018,122,미스터리,JANG Jae-hyun
20177282,리노,Lino - Adventure of Seven Lives,Lino: Uma Aventura de Sete Vidas,전체관람가,2017,88,애니메이션,Rafael Ribas
20180937,더 페이버릿: 여왕의 여자,THE FAVOURITE,,15세이상관람가,2018,119,드라마,Giorgos Lanthimos
20195743,신데렐라:마법 반지의 비밀,Cinderella and The Secret Prince,,전체관람가,2018,87,애니메이션,Lynne Southerland
20196323,더 와이프,The Wife,,15세이상관람가,2017,100,드라마,Bjorn Runge
20176442,자전차왕 엄복동,Race to Freedom : Um Bok Dong,,12세이상관람가,2018,116,드라마,KIM Ryu-sung
20186261,드래곤 길들이기 3,How to Train Your Dragon 3,How to Train Your Dragon: The Hidden World,전체관람가,2018,104,애니메이션,Dean Deblois
20195791,"어쩌다, 결혼",Trade Your Love,,12세이상관람가,2018,87,멜로/로맨스,PARK Ho-chan
20188282,알리타: 배틀 엔젤,Alita: Battle Angel,,12세이상관람가,2018,121,액션,Robert Rodriguez
20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,전체관람가,2002,161,드라마,Chris Columbus
20185576,콜드 체이싱,Cold Pursuit,,15세이상관람가,2019,118,액션,Hans Petter Moland
20195915,해피 데스데이 2 유,Happy Death Day 2 U,,15세이상관람가,2018,100,공포(호러),Christopher Landon
20184888,메리 포핀스 리턴즈,Mary Poppins Returns,,전체관람가,2018,130,판타지,Rob Marshall
20174169,기묘한 가족,THE ODD FAMILY : ZOMBIE ON SALE,,12세이상관람가,2018,111,코미디,LEE Min-jae
20162003,명탐정 코난:전율의 악보,Detective Conan: Full Score of Fear,,12세이상관람가,2008,115,애니메이션,Yasuichiro Yamamoto
20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,Hello Carbot The Movie: The Secret of Omphalos Island,,전체관람가,2018,78,애니메이션,KIM Jin-cheol
20195984,드래곤볼 슈퍼: 브로리,Dragon Ball Super: Broly,ドラゴンボール超（スーパー） ブロリー,전체관람가,2018,99,애니메이션,Nagamine Tatsuya
20180868,뺑반,Hit-and-Run Squad,,15세이상관람가,2018,133,범죄,HAN Jun-hui
20185444,레고 무비2,The Lego Movie 2: The Second Part,,전체관람가,2019,106,애니메이션,Mike Mitchell
20185124,러브 유어셀프 인 서울,LOVE YOURSELF IN SEOUL,,전체관람가,2018,111,공연,
20184105,말모이,MAL·MO·E: The Secret Mission,,12세이상관람가,2018,135,드라마,EOM Yuna
20184896,가버나움,Capharnaum,Capernaum,15세이상관람가,2018,126,드라마,Nadine Labaki
20176251,내안의 그놈,The Dude in Me,,15세이상관람가,2018,122,판타지,KANG Hyo-jin
20189463,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,전체관람가,2018,112,애니메이션,Rich Moore
20182544,글래스,Glass,,15세이상관람가,2018,129,드라마,M. Night Shyamalan
20186324,언더독,Underdog,,전체관람가,2018,101,애니메이션,LEE Chun-baek
20189385,몬스터 파크,Here Comes the Grump,,전체관람가,2018,86,애니메이션,Andres Couturier
20183915,극장판 공룡메카드: 타이니소어의 섬,,,전체관람가,2018,70,애니메이션,CHOI Shin-gyu
20182588,미래의 미라이,MIRAI,未来のミライ(,전체관람가,2018,97,애니메이션,Mamoru Hosoda
20182044,구스 베이비,Duck Duck Goose,,전체관람가,2018,89,애니메이션,Christopher Jenkins
20185485,보헤미안 랩소디,Bohemian Rhapsody,,12세이상관람가,2018,134,드라마,Bryan Singer
20180290,아쿠아맨,AQUAMAN,,12세이상관람가,2018,143,액션,James Wan
20186281,범블비,Bumblebee,,12세이상관람가,2018,113,액션,Travis Knight
20170658,PMC: 더 벙커,Take Point,,15세이상관람가,2018,124,액션,KIM Byung-woo
20187427,명탐정 코난 : 제로의 집행인,Detective Conan: Zero the Enforcer,名探偵コナン ゼロの執行人,12세이상관람가,2018,110,애니메이션,Yuzuru Tachikawa
20184187,언니,No Mercy,,청소년관람불가,2018,93,액션,LIM Kyoung-tack
20175547,스윙키즈,Swing Kids,,12세이상관람가,2018,133,드라마,KANG Hyoung-chul
20183785,점박이 한반도의 공룡2 : 새로운 낙원,,,전체관람가,2018,93,애니메이션,
20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,전체관람가,2018,103,애니메이션,Wataru Takahashi
20168773,마약왕,The Drug King,,청소년관람불가,2017,139,범죄,WOO Min-ho
20182421,그린치,The Grinch,,전체관람가,2018,89,애니메이션,Scott Mosier
20183238,스파이더맨: 뉴 유니버스,Spider-Man: Into the Spider-Verse,,12세이상관람가,2018,116,애니메이션,Bob Persichetti
20183375,극장판 포켓몬스터 모두의 이야기,Pokemon the Movie: The Power of Us,劇場版ポケットモンスター みんなの物語,전체관람가,2018,98,애니메이션,Tetsuo Yajima
20177552,국가부도의 날,Default,,12세이상관람가,2018,114,드라마,CHOI Kook-hee
20189843,호두까기 인형과 4개의 왕국,The Nutcracker and the Four Realms,,전체관람가,2018,99,판타지,Lasse Hallstrom
20179230,도어락,Door Lock,,15세이상관람가,2018,102,스릴러,LEE Kwon
20182082,부탁 하나만 들어줘,A Simple Favor,,청소년관람불가,2018,116,스릴러,Paul Feig
20183745,런닝맨 : 풀룰루의 역습,Running Man,,전체관람가,2018,66,애니메이션,YOON Jun-sang
20183685,엘리엇과 산타 썰매단,Elliot the Littlest Reindeer,,전체관람가,2018,89,애니메이션,Jennifer Westcott
20177538,완벽한 타인,Intimate Strangers,,15세이상관람가,2018,115,드라마,LEE Jae-kyoo
20178825,모털 엔진,Mortal Engines,,12세이상관람가,2018,128,액션,Christian Rivers
20184481,성난황소,Unstoppable,,15세이상관람가,2018,115,범죄,KIM Min-ho
20183650,번개맨의 비밀,,,전체관람가,2018,68,가족,
20183288,헌터 킬러,HUNTER KILLER,,15세이상관람가,2017,121,액션,Donovan Marsh
